Unnamed: 0,,주소,시군구명,지역명칭,행정동,,등급,기준일자
138,139,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
139,140,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
140,141,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
141,142,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
142,143,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
143,144,서울특별시 강북구 번동 461-***,강북구,번동,번1동,단독주택,2등급,2024-04-19
144,145,서울특별시 강북구 번동 471-***,강북구,번동,번1동,단독주택,3등급,2024-04-19
145,146,서울특별시 강북구 번동 526-***,강북구,번동,번2동,단독주택,3등급,2024-04-19
146,147,서울특별시 강북구 번동 526-***,강북구,번동,번2동,단독주택,4등급,2024-04-19
147,148,서울특별시 강북구 수유동 130-***,강북구,수유동,수유3동,단독주택,4등급,2024-04-19
148,149,서울특별시 강북구 수유동 170-***,강북구,수유동,수유3동,단독주택,1등급,2024-04-19
149,150,서울특별시 강북구 수유동 313-***,강북구,수유동,인수동,단독주택,3등급,2024-04-19
150,151,서울특별시 강북구 수유동 338-***,강북구,수유동,수유2동,아파트,2등급,2024-04-19
151,152,서울특별시 강북구 수유동 410-***,강북구,수유동,인수동,다세대,1등급,2024-04-19
152,153,서울특별시 강북구 수유동 516-***,강북구,수유동,인수동,다가구주택,1등급,2024-04-19
153,154,서울특별시 강북구 수유동 735-***,강북구,수유동,삼양동,단독주택,1등급,2024-04-19
154,155,서울특별시 강북구 우이동 29-***,강북구,우이동,우이동,단독주택,4등급,2024-04-19
155,156,서울특별시 강북구 미아동 130-***,강북구,미아동,송중동,단독주택,1등급,2024-04-19
156,157,서울특별시 강북구 미아동 159-***,강북구,미아동,미아동,단독주택,2등급,2024-04-19
157,158,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,3등급,2024-04-19
158,159,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
159,160,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
160,161,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
161,162,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,1등급,2024-04-19
162,163,서울특별시 강북구 미아동 791-***,강북구,미아동,삼양동,단독주택,4등급,2024-04-19
163,164,서울특별시 강북구 미아동 793-***,강북구,미아동,삼양동,단독주택,2등급,2024-04-19
164,165,서울특별시 강북구 수유동 468-***,강북구,수유동,수유1동,단독주택,2등급,2024-04-19
165,166,서울특별시 강북구 수유동 472-***,강북구,수유동,수유1동,단독주택,1등급,2024-04-19
166,167,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,4등급,2024-04-19
167,168,서울특별시 강북구 수유동 486-***,강북구,수유동,수유1동,단독주택,3등급,2024-04-19
