Unnamed: 0,주소,도로명,Unnamed: 3,건축년도,건축구조,전용면적,건축면적,면적,대지면적(제곱미터)
168,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,275.5,1421.14,7662.7
169,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
170,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
171,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
172,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
173,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
174,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
175,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
176,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
177,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
178,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
179,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
180,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
181,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
182,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
183,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
184,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
185,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
186,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
187,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
188,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
189,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
190,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
191,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
192,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
193,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
194,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
195,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,459.17,2339.49,7662.7
196,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
197,부산광역시 해운대구 재송동 1030,해운대로61번길 62-7,아파트,1980,철근콘크리트구조,40.13,367.34,1880.34,7662.7
198,부산광역시 해운대구 반여동 1291-974,재반로196번길 22-34,단독주택,1973,시멘트블럭조,,0.0,26.45,112.0
199,부산광역시 해운대구 반여동 1291-1180,해운대로61번길 84-50,다세대,1997,기타조적구조,35.8,85.63,338.39,106.0
200,부산광역시 해운대구 반여동 1291-1115,해운대로61번길 92-29,다세대,1994,철근콘크리트구조,42.18,97.5,415.26,116.0
201,부산광역시 해운대구 반여동 1291-1095,해운대로61번길 96-25,다세대,1993,철근콘크리트구조,37.035,98.8,443.96,116.0
202,부산광역시 해운대구 반여동 1291-1095,해운대로61번길 96-25,다세대,1993,철근콘크리트구조,37.035,98.8,443.96,116.0
203,부산광역시 해운대구 반여동 1291-1211,해운대로61번길 72-25,단독주택,1983,블록구조,,56.44,109.12,96.0
204,부산광역시 해운대구 반여동 1477-1,선수촌로21번길 31,아파트,1979,철근콘크리트구조,65.16,4123.64,22903.16,32359.0
205,부산광역시 해운대구 반여동 1291-699,재반로196번길 21-18,다세대,1996,기타조적구조,39.11,90.52,357.7,102.0
206,부산광역시 해운대구 반여동 1291-1368,해운대로61번길 107-10,다세대,1995,철근콘크리트구조,46.17,102.24,477.36,117.0
207,부산광역시 해운대구 반여동 1291-775,재반로196번길 7-18,다세대,1995,기타조적구조,36.8,97.28,459.24,116.0
208,부산광역시 해운대구 반여동 1291-693,재반로196번길 21-34,다세대,1994,기타조적구조,37.19,86.62,385.14,106.0
209,부산광역시 해운대구 반여동 1291-1366,해운대로61번길 107-18,다세대,1995,기타조적구조,39.18,104.34,468.06,117.0
210,부산광역시 해운대구 반여동 1329-10,반여로 33-1,단독주택,1982,블록구조,,32.54,62.99,43.0
211,부산광역시 해운대구 반여동 1291-721,재반로196번길 13-58,다세대,1994,기타조적구조,43.05,96.0,453.92,109.0
212,부산광역시 해운대구 반여동 1329-13,반여로27번길 2-42,다가구주택,1990,벽돌구조,,39.36,76.29,81.0
213,부산광역시 해운대구 반여동 1291-870,해운대로61번길 103-53,다세대,1994,기타조적구조,42.84,42.84,169.32,54.5
214,부산광역시 해운대구 반여동 1351,반여로27번길 22-3,단독주택,1973,시멘트블럭조,,0.0,127.93,212.0
215,부산광역시 해운대구 반여동 1330-27,반여로41번길 7,단독주택,1978,블록구조,,75.96,75.96,278.0
216,부산광역시 해운대구 반여동 1291-823,해운대로61번길 107-66,다세대,1995,기타조적구조,37.46,91.88,413.67,109.0
217,부산광역시 해운대구 반여동 1291-749,재반로196번길 7-84,다가구주택,1992,기타조적구조,,42.39,162.88,56.0
218,부산광역시 해운대구 반여동 1291-709,재반로196번길 13-86,다세대,1993,철근콘크리트구조,41.42,92.3,409.18,109.0
219,부산광역시 해운대구 송정동 84-3,송정2로23번길 42,다세대,2002,철근콘크리트구조,76.17,171.56,659.28,351.1
