,연번,입력일자,건물주소,건물구조,건물용도,건물규모,정비여부,정비일자,정비방법,철거 후 활용,경도,위도
83,84,2014-06-02,연산동 1575-10,,,,Y,2014-04-01,자진철거,기타 (.),129.0794115,35.17701502
84,85,2014-06-02,연산동 1575-12,,,,Y,2014-04-01,자진철거,기타 (.),129.0796208,35.17706724
85,86,2014-06-02,연산동 1575-25,,,,Y,2014-04-01,자진철거,기타 (.),129.0792365,35.17706166
86,87,2014-06-02,연산동 1579-2,,,,Y,2014-04-01,자진철거,기타 (.),129.0780872,35.17732429
87,88,2014-06-02,연산동 1580-1,,,,Y,2014-04-01,자진철거,기타 (.),129.0779222,35.17729872
88,89,2014-06-02,연산동 1583-1,,,,Y,2014-04-01,자진철거,기타 (.),129.0777099,35.17785046
89,90,2014-06-02,연산동 1584-4,,,,Y,2014-04-01,자진철거,기타 (.),129.0784875,35.17770832
90,91,2014-06-02,연산동 1584-12,,,,Y,2014-04-01,자진철거,기타 (.),129.0779734,35.17784811
91,92,2014-06-02,연산동 1584-13,,,,Y,2014-04-01,자진철거,기타 (.),129.0779053,35.17768647
92,93,2014-06-02,연산동 1584-16,,,,Y,2014-04-01,자진철거,기타 (.),129.0784099,35.17765493
93,94,2014-06-02,연산동 1584-24,,,,Y,2014-04-01,자진철거,기타 (.),129.0783356,35.17784488
94,95,2014-06-02,연산동 1584-28,,,,Y,2014-04-02,자진철거,기타 (.),129.0776413,35.17847303
95,96,2014-06-02,연산동 1584-30,,,,Y,2014-04-02,자진철거,기타 (.),129.0776283,35.17831991
96,97,2014-06-02,연산동 1584-32,,,,Y,2014-04-02,자진철거,기타 (.),129.0781484,35.17780148
97,98,2014-06-02,연산동 1584-34,,,,Y,2014-04-02,자진철거,기타 (.),129.0782495,35.17797185
98,99,2014-06-02,연산동 1584-40,,,,Y,2014-04-02,자진철거,기타 (.),129.0779105,35.17807402
99,100,2014-06-02,연산동 1584-43,,,,Y,2014-04-02,자진철거,기타 (.),129.0779667,35.17817267
100,101,2014-06-02,연산동 1584-45,,,,Y,2014-04-02,자진철거,기타 (.),129.0781845,35.17804454
101,102,2014-06-02,연산동 1584-47,,,,Y,2014-04-02,자진철거,기타 (.),129.0778144,35.17828219
102,103,2014-06-02,연산동 1584-61,,,,Y,2014-04-02,자진철거,기타 (.),129.0780879,35.17820765
103,104,2014-06-02,연산동 1584-68,,,,Y,2014-04-02,자진철거,기타 (.),129.078131,35.17814417
104,105,2014-06-02,연산동 1584-71,,,,Y,2014-04-02,자진철거,기타 (.),129.0782355,35.17774662
105,106,2014-06-02,연산동 1608-9,,,,Y,2014-04-02,자진철거,기타 (.),129.0801727,35.17729667
106,107,2014-06-02,연산동 1608-10,,,,Y,2014-04-02,자진철거,기타 (.),129.0800411,35.17730686
107,108,2014-06-02,연산동 1608-11,,,,Y,2014-04-02,자진철거,기타 (.),129.0798545,35.17730853
108,109,2014-06-02,연산동 1609-4,,,,Y,2014-04-02,자진철거,기타 (.),129.080304,35.17725945
109,110,2014-06-02,연산동 807-5,,,,Y,2014-03-31,자진철거,기타 (),129.0805312,35.17700503
110,111,2014-06-02,연산동 807-9,,,,Y,2014-03-31,자진철거,기타 (),129.0804247,35.17725837
111,112,2014-06-02,연산동 807-12,,,,Y,2014-03-31,자진철거,기타 (.),129.0805333,35.17716726
112,113,2014-06-02,연산동 807-13,,,,Y,2014-03-31,자진철거,기타 (.),129.0805234,35.17724847
113,114,2014-06-02,연산동 807-14,,,,Y,2014-03-31,자진철거,기타 (.),129.0805114,35.17716745
114,115,2014-06-02,연산동 824-1,,,,Y,2014-03-31,자진철거,기타 (.),129.0805394,35.17679763
115,116,2014-06-02,연산동 824-3,,,,Y,2014-03-31,자진철거,기타 (.),129.0805706,35.17667116
116,117,2014-06-02,연산동 824-7,,,,Y,2014-03-31,자진철거,기타 (.),129.0805803,35.17657192
117,118,2014-06-02,연산동 1464-2,,,,Y,2014-03-31,자진철거,기타 (.),129.0772962,35.17811555
118,119,2014-06-02,연산동 1535-7,,,,Y,2014-03-31,자진철거,기타 (.),129.0803996,35.17701522
119,120,2014-06-02,연산동 1535-21,,,,Y,2014-03-31,자진철거,기타 (.),129.0804048,35.1765825
120,121,2014-06-02,연산동 1561-2,,,,Y,2014-03-31,자진철거,기타 (.),129.079049,35.17700023
121,122,2014-06-02,연산동 1562-2,,,,Y,2014-03-31,자진철거,기타 (.),129.0795646,35.17696859
122,123,2014-01-16,쌍미천로 171-4(연산동 615-71번지),블럭슬레이트,주택,지상1층,Y,2014-04-09,예산지원철거,주차장,129.0867053,35.18803677
123,124,2014-01-06,연산동 615-71,,,,Y,2014-04-09,예산지원철거,주차장,129.0867053,35.18803677
124,125,2013-07-29,연제구 거제동 751-37번지,조적조,단독주택,"지하1층, 지상2층, 연면적 127.14㎡",Y,2013-11-12,자진철거,기타 (),129.0698853,35.1764146
125,126,2013-04-18,거제1동 300-4,블럭스레트,단독주택,지상1층,Y,2016-02-12,기타 (),,129.0763885,35.19334806
126,127,2013-04-18,거제동 318-10,블럭스레트,단독주택,"연면적 68.43㎡, 지상1층, 2개동",Y,2015-09-25,기타 (),,129.0755975,35.19331904
127,128,2013-04-18,연산7동 667-73,블럭스레트,단독주택,지상1층 34.05㎡,Y,2013-07-08,예산지원,기타 (),129.0885266,35.17723981
128,129,2013-04-18,거제1동 303-3,블럭스레트,단독주택,지상1층,Y,2016-02-12,자진철거,기타 (기타),129.0766921,35.19305691
129,130,2013-04-18,거제1동 303-2,블럭스레트,단독주택,지상1층,Y,2016-02-20,기타 (),,129.0768131,35.19307386
130,131,2013-04-18,거제1동 300-60,블럭스레트,단독주택,지상1층 31.40㎡,Y,2015-09-25,기타 (),,129.0769965,35.19365813
131,132,2013-04-18,거제동 309-12,블럭스레트,단독주택,"연면적 45.66㎡, 지상 1층",Y,2015-09-25,기타 (),,129.0761772,35.19231335
132,133,2013-03-15,연산2동 1575-12,블럭조,단독주택,지상1층,Y,2014-01-02,기타 (),,129.0796208,35.17706724
